alpha_deg,cl,cd,cm,Re,mean_yplus,t0,t1,k,omega,epsilon,nut,z_turbulence,OpenFOAM_build
0.0,4.438708949196142e-06,0.01998598978135048,1.2875626727974278e-06,200000.0,4.84949,20.0,30.0002,0.00737023,22.5991,0.01499045083137,0.000326149,-0.02,
1.0,0.08404543786885246,0.0200653921185372,0.004332038808953341,200000.0,4.84558,20.0,30.002129999999998,0.00748798,21.1319,0.01424117201058,0.000354356,8.68446e-17,
2.0,0.16793443991336635,0.020360858298267327,0.008597539004331684,200000.0,4.83945,20.0,29.99835,0.007886399999999998,21.3308,0.015140089900799996,0.000369722,-0.01,
3.0,0.25177194872572817,0.020866548149271847,0.012697690807038834,200000.0,4.82669,20.0,29.999229999999997,0.008244,21.3066,0.015808644936,0.000386936,-0.02,
4.0,0.33523124181060154,0.02160459057772484,0.0166138050565813,200000.0,4.8073,20.0,29.998990000000003,0.00857015,20.0721,0.015481881703350001,0.000426965,-0.04,
5.0,0.4180376809633027,0.022602644030963303,0.02028046986811927,200000.0,4.7779300000000005,20.0,30.00106,0.00937351,20.0631,0.016925550163289997,0.000467194,-0.05,
6.0,0.4990711587724062,0.023898820901683864,0.02376257781640413,200000.0,4.7390099999999995,20.0,29.99932,0.0102467,19.8978,0.0183498108534,0.0005149530000000001,-0.06,
7.0,0.5775415240102828,0.02557097199485861,0.02700798053470437,200000.0,4.69155,20.0,30.000909999999998,0.0113005,19.6147,0.019949032561499998,0.000576108,-0.07,
8.0,0.6520624018536586,0.027692200775609757,0.030018884253658538,200000.0,4.6368,20.0,29.999679999999998,0.0126335,19.2246,0.021858658569,0.000657151,-0.08,
9.0,0.7208373368738404,0.03041206835343228,0.03273410735157699,200000.0,4.57849,20.0,29.998559999999998,0.014405,18.7362,0.024290546490000002,0.0007688339999999999,-0.09,
10.0,0.7809611821318001,0.03398642344980097,0.035024845979655016,200000.0,4.51921,20.0,29.999090000000002,0.0168086,18.1279,0.027423415794599997,0.000927216,-0.1,
11.0,0.8287647310988545,0.03886502333050488,0.036554239410267295,200000.0,4.46336,20.0,29.9987,0.0199627,17.7875,0.031957787362500004,0.00112227,-0.1,
12.0,0.8578928836885247,0.045813238446721305,0.03680466281557377,200000.0,4.41524,20.0,29.99915,0.0248266,16.8271,0.037598371277400004,0.00147548,-0.11,
13.0,0.8591387289378757,0.056083907490981966,0.03494699080561122,200000.0,4.3777,20.0,29.99975,0.0320736,16.2883,0.0470181976992,0.00196982,-0.1,
14.0,0.8214354925009972,0.07157385038691662,0.029938865253290786,200000.0,4.34654,20.0,30.00023,0.0427556,15.2846,0.05881520193839999,0.00280055,-0.09,
15.0,0.7433903470085469,0.0937057622954823,0.021149104945054942,200000.0,4.31732,20.0,30.000459999999997,0.05740830000000001,14.2585,0.07367006209950001,0.00404195,-0.06,
16.0,0.6505786238578679,0.12255162588832487,0.008779571259306259,200000.0,4.26131,20.0,30.00003,0.0722141,12.7827,0.0830782058463,0.00569354,-0.03,
17.0,0.5330316415940767,0.16006417713414636,-0.005155835155833685,200000.0,4.17908,20.0,29.99912,0.0722648,12.0968,0.0786755549376,0.00592471,8.67362e-17,
18.0,0.5728017984112974,0.2404493457193292,-0.04563006008531922,200000.0,4.18901,20.0,29.99985,0.06315499999999999,11.9653,0.06801016693499998,0.00520294,8.67362e-17,
19.0,0.6071610162608225,0.2731583695616883,-0.056933354759199126,200000.0,4.246,20.0,29.99983,0.0592772,11.3787,0.06070477280759999,0.00511085,8.586879999999997e-17,
20.0,0.6094343138226627,0.2930693794535227,-0.059752225539780324,200000.0,4.18752,20.0,29.99885,0.0608511,11.1153,0.06087404086469999,0.00534684,8.67362e-17,
21.0,0.526078286153315,0.2783044140538674,-0.04259937579419889,199999.99999999997,3.90177,20.0,29.99883,0.0789237,10.405,0.073908098865,0.00750148,8.673620000000001e-17,2.4.x-2b147f41daf9
22.0,0.510147529989015,0.2851407154155987,-0.040122594046136946,199999.99999999997,3.82368,20.0,29.99881,0.08190019999999999,9.592260000000001,0.07070472112068,0.00865911,8.673620000000001e-17,2.4.x-2b147f41daf9
23.0,0.5226580865581889,0.30258879639193487,-0.04399168572338168,199999.99999999997,3.74547,20.0,30.00173,0.08821419999999999,16.1261,0.1280295909558,0.00528171,-0.26,2.4.x-2b147f41daf9
