alpha_deg,cl,cd,cm,Re,mean_yplus,t0,t1,k,omega,epsilon,nut,z_turbulence
0.0,-2.711831634543179e-06,0.021943781063829784,5.867625442428035e-07,200000.0,4.7745,20.0,29.9991,0.00857715,21.8144,0.0168394842864,0.000393213,-0.02
1.0,0.06995491392132759,0.02203247048555624,0.006568011593730792,200000.0,4.77124,20.0,29.99871,0.00852329,21.9044,0.016802779812839997,0.000389168,-0.03
2.0,0.13952048101571946,0.022338503597339784,0.013058819673518744,200000.0,4.76665,20.0,29.999470000000002,0.00899225,21.2761,0.01721880092025,0.000422685,8.67362e-17
3.0,0.21069198947055326,0.02288096911957168,0.01898978928613921,200000.0,4.76543,20.0,29.99725,0.00953021,19.8563,0.017031123794070003,0.000479952,-0.02
4.0,0.2831644465184318,0.02369137468110006,0.02430597149795202,200000.0,4.75758,20.0,30.00174,0.0102465,19.6625,0.0181324625625,0.000521108,-0.03
5.0,0.35598446244239634,0.02479944069124424,0.029029183145161286,200000.0,4.741969999999999,20.0,30.00013,0.0111302,19.398,0.019431325764,0.000573766,-0.04
6.0,0.4277536936435868,0.026287677667423383,0.033205213234960285,200000.0,4.71776,20.0,30.000840000000004,0.012242,19.0604,0.021000367511999997,0.000642252,-0.05
7.0,0.4969566649200221,0.028234116756756755,0.03684837934914507,200000.0,4.6872300000000005,20.0,29.999779999999998,0.0136595,18.6472,0.022924028556,0.000732492,-0.06
8.0,0.5616049009549072,0.030812690763925732,0.039957224,200000.0,4.652419999999999,20.0,30.001920000000002,0.0154837,18.1521,0.0252955503693,0.0008529710000000001,-0.07
9.0,0.6192076592421916,0.03424033092677932,0.04244468188940092,200000.0,4.61717,20.0,30.001690000000004,0.0178134,17.5707,0.028169451664200002,0.00101377,-0.08
10.0,0.6663870267459139,0.038851137384843984,0.044134778137691934,200000.0,4.58397,20.0,29.99915,0.0212672,17.3176,0.0331467176448,0.00122806,-0.08
11.0,0.6984154099133782,0.045206907728585176,0.044727995856592866,200000.0,4.55294,20.0,30.001690000000004,0.0258118,16.8322,0.0391022441964,0.00153349,-0.08
12.0,0.7098441805752004,0.054061025822725116,0.04382098321074965,200000.0,4.52255,20.0,29.99982,0.0321501,16.1276,0.0466653557484,0.0019937,-0.08
13.0,0.696521359141791,0.06624207490671642,0.040968404277052235,200000.0,4.49425,20.0,29.999779999999998,0.0408422,15.4919,0.05694509503619999,0.00263749,-0.07
14.0,0.6599740376750699,0.08227369904761904,0.03584455831932773,200000.0,4.4604099999999995,20.0,29.99912,0.0516551,14.5861,0.0678101808699,0.00354488,-0.06
15.0,0.613039415881244,0.10192800094250708,0.02858081698868992,200000.0,4.41156,20.0,29.99782,0.0630714,14.0346,0.0796663683396,0.00448988,-0.04
16.0,0.5798251252736792,0.12573031899095669,0.01867186890052356,200000.0,4.35329,20.0,30.00017,0.06764260000000001,13.7231,0.08354395476540002,0.00489218,-0.02
17.0,0.5492845002284147,0.15402097263590678,0.006919916926943809,200000.0,4.28505,20.0,29.99843,0.0690788,13.0589,0.0811883827188,0.00518938,8.67362e-17
18.0,0.5321408892103205,0.1881548187646599,-0.007455439704706803,200000.0,4.20662,20.0,30.00175,0.06864880000000001,12.2393,0.07561919320560001,0.00547856,8.67362e-17
19.0,0.5503592087576374,0.2434936182426535,-0.03144172161478034,200000.0,4.21183,20.0,30.0005,0.060223300000000014,11.7049,0.0634416933753,0.00503235,8.586879999999997e-17
20.0,0.5627395514008322,0.277264546407767,-0.042316391958391125,200000.0,4.23854,20.0,29.99938,0.0625564,11.4677,0.0645640225452,0.00534145,8.67362e-17
21.0,0.5546357367768595,0.2964591992011019,-0.044269927917355366,199999.99999999997,4.15013,20.0,29.99856,0.06584060000000001,11.1204,0.06589564274160001,0.0057842,8.673620000000001e-17
22.0,0.5245033880774033,0.30301399740948814,-0.04021044428838952,199999.99999999997,3.97446,20.0,29.99938,0.0773044,10.8273,0.07532981371079998,0.00694823,8.673620000000001e-17
23.0,0.4806678998489427,0.2988507807779456,-0.03177283248111783,199999.99999999997,3.85429,20.0,29.99841,0.08304650000000001,9.725660000000001,0.0726913820871,0.00866473,8.673620000000001e-17
24.0,0.4902193431801054,0.3151689494348154,-0.0353665430293896,199999.99999999997,3.77597,20.0,29.99859,0.0882635,16.2941,0.12943568658149998,0.00519914,-0.27
25.0,0.49049716932677756,0.32690913207261724,-0.03710338660741301,199999.99999999997,3.71896,20.0,29.99996,0.0904862,16.8841,0.1375000244478,0.00525092,-0.3
