profile,reynolds_number,alpha_deg,y_plus_mean,cl,cd,cm
0012,200000.0,9.0,4.61352146,0.607971,0.04839241,0.005593605
0012,200000.0,7.0,4.74998816,0.4719536,0.03561536,0.005248986
0012,200000.0,0.0,4.90544672,-7.789629e-05,0.01657705,1.848704e-05
0012,200000.0,1.0,4.90353395,0.06790228,0.01696427,0.0009944637
0012,200000.0,6.0,4.80237966,0.4063935,0.03044441,0.004841257
0012,200000.0,8.0,4.68924087,0.5384352,0.04157758,0.005450928
0012,200000.0,28.0,4.26715357,1.821258,0.6283396,-0.03614119
0012,200000.0,17.0,3.65519947,1.164074,0.1553265,0.004020956
0012,200000.0,10.0,4.52014137,0.6743949,0.05624466,0.005342438
0012,200000.0,19.0,4.23119072,1.339411,0.2231934,0.002792613
0012,200000.0,26.0,4.40296356,1.951067,0.6153866,-0.01572918
0012,200000.0,21.0,4.34957693,1.550462,0.321156,-0.003103443
0012,200000.0,20.0,4.33104359,1.432556,0.2631713,0.0008214401
0012,200000.0,18.0,4.01881518,1.24758,0.1860794,0.003517297
0012,200000.0,27.0,4.33189016,1.820786,0.6081424,-0.03886751
0012,200000.0,11.0,4.46323867,0.7416374,0.06458145,0.005621179
0012,200000.0,29.0,4.17164771,1.919331,0.7473783,-0.1141993
0012,200000.0,16.0,3.62442204,1.092674,0.1324972,0.003927746
0012,200000.0,3.0,4.88475961,0.2043461,0.02002178,0.002733414
0012,200000.0,4.0,4.86014242,0.2718936,0.02267462,0.00351639
0012,200000.0,5.0,4.82703785,0.3387798,0.02623442,0.004169574
0012,200000.0,2.0,4.89702134,0.1352125,0.01809989,0.001944157
0012,200000.0,30.0,4.13560089,2.060282,0.9005548,-0.1193361
0012,200000.0,13.0,4.14894817,0.8668184,0.0854338,0.00433635
0012,200000.0,14.0,3.97711016,0.939569,0.0971653,0.004439463
0012,200000.0,22.0,4.35617776,1.557031,0.3422417,-0.006521963
0012,200000.0,25.0,4.28899289,1.72809,0.4859658,-0.007394184
0012,200000.0,24.0,4.38480919,1.678027,0.4403114,-0.009580577
0012,200000.0,23.0,4.35510978,1.660405,0.4101428,-0.009993243
0012,200000.0,15.0,3.75493836,1.015414,0.1117327,0.004443939
0012,200000.0,12.0,4.31424979,0.8087123,0.07417513,0.005361998
